1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,A little boy named Andy loves to be in his room playing with his toys especially his doll named "Woody". But what do the toys do when Andy is not with them they come to life. Woody believes that he has life (as a toy) good. However he must worry about Andy's family moving and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear who does not believe that he is a toy and quickly becomes Andy's new favorite toy. Woody who is now consumed with jealousy tries to get rid of Buzz. Then both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them but they will have to pass through a ruthless toy killer Sid Phillips.
2,Jumanji (1995),Adventure|Children|Fantasy,When two kids find and play a magical board game they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.
3,Grumpier Old Men (1995),Comedy|Romance,John and Max resolve to save their beloved bait shop from turning into an Italian restaurant just as its new female owner catches Max's attention.
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Based on Terry McMillan's novel this film follows four very different African-American women and their relationships with the male gender.
5,Father of the Bride Part II (1995),Comedy,In this sequel to "Father of the Bride" George Banks must accept the reality of what his daughter's ascension from daughter to wife and now to mother means when placed into perspective against his own stage of life. As the comfortable family unit starts to unravel in his mind a rapid progression into mid-life crisis is in his future. His journey to regain his youth acts as a catalyst for a kind of "rebirth" of his attitude on life when he and his wife Nina find how their lives are about to change as well.
6,Heat (1995),Action|Crime|Thriller,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
7,Sabrina (1995),Comedy|Romance,Linus and David Larrabee are the two sons of a very wealthy family. Linus is all work -- busily running the family corporate empire with no time for a wife and family. David is all play -- technically employed in the family business but never showing up for work spending all his time entertaining and having been married and divorced three times. Sabrina Fairchild is the young shy and awkward daughter of the household chauffeur who has been infatuated with David all her life but whom David hardly notices till she goes away to Paris for two years and returns an elegant sophisticated beautiful woman. Suddenly she finds she's captured David's attention but just as she does so she finds herself also falling in love with Linus and she finds that Linus is also falling in love with her.
8,Tom and Huck (1995),Adventure|Children,A mischievous young boy Tom Sawyer (Jonathan Taylor Thomas witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn (Brad Renfro a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.
9,Sudden Death (1995),Action,Some terrorists kidnap the Vice President of the United States and threaten to blow up the entire stadium during the final game of the NHL Stanley Cup. There is only one way and one man to stop them...
10,GoldenEye (1995),Action|Adventure|Thriller,When a deadly satellite weapon system falls into the wrong hands only Agent 007 can save the world from certain disaster. Armed with his license to kill Bond races to Russia in search of the stolen access codes for "Goldeneye" an awesome space weapon that can fire a devastating electromagnetic pulse toward Earth. But 007 is up against an enemy who anticipates his every move: a mastermind motivated by years of simmering hatred. Bond also squares off against Xenia Onatopp an assassin who uses pleasure as her ultimate weapon.
11,"American President, The (1995)",Comedy|Drama|Romance,Andrew Shepherd is approaching the end of his first term as President of the United States. He's a widower with a young daughter and has proved to be popular with the public. His election seems assured. That is until he meets Sydney Ellen Wade a paid political activist working for an environmental lobby group. He's immediately smitten with her and after several amusing attempts they finally manage to go on a date (which happens to be a State dinner for the visiting President of France). His relationship with Wade opens the door for his prime political opponent Senator Bob Rumson to launch an attack on the President's character something he could not do in the previous election as Shepherd's wife had only recently died.
12,Dracula: Dead and Loving It (1995),Comedy|Horror,After a harrowing ride through the Carpathian mountains in eastern Europe Renfield enters castle Dracula to finalize the transferral of Carfax Abbey in London to Count Dracula who is in actuality a vampire. Renfield is drugged by the eerily hypnotic count and turned into one of his thralls protecting him during his sea voyage to London. After sucking the blood and turning the young Lucy Weston into a vampire Dracula turns his attention to her friend Mina Seward daughter of Dr. Seward who then calls in a specialist Dr. Van Helsing to diagnose the sudden deterioration of Mina's health. Van Helsing realizing that Dracula is indeed a vampire tries to prepare Mina's fiance John Harker and Dr. Seward for what is to come and the measures that will have to be taken to prevent Mina from becoming one of the undead.
13,Balto (1995),Adventure|Animation|Children,A half-wolf half-husky named Balto gets a chance to become a hero when an outbreak of diphtheria threatens the children of Nome Alaska in the winter of 1925. He leads a dog team on a 600-mile trip across the Alaskan wilderness to get medical supplies. The film is based on a true story which inspired the Iditarod dog sled race.
14,Nixon (1995),Drama,A biographical story of former U.S. president Richard Milhous Nixon from his days as a young boy to his eventual presidency which ended in shame.
15,Cutthroat Island (1995),Action|Adventure|Romance,Morgan Adams and her slave William Shaw are on a quest to recover the three portions of a treasure map. Unfortunately the final portion is held by her murderous uncle Dawg. Her crew is skeptical of her leadership abilities so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her piratical raids.
16,Casino (1995),Crime|Drama,Greed deception money power and murder occur between two best friends a mafia underboss and a casino owner for a trophy wife over a gambling empire.
17,Sense and Sensibility (1995),Drama|Romance,Rich Mr. Dashwood dies leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.
18,Four Rooms (1995),Comedy,Four interlocking tales that take place in a fading hotel on New Year's Eve.
19,Ace Ventura: When Nature Calls (1995),Comedy,Adventure game based on the animated 1995 Ace Ventura: Pet Detective TV Series. Ace is on the trail of a conspiracy involving a rich German countess who loves fur and some missing Alaskan huskies.
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother a fellow cop tries to protect him.
21,Get Shorty (1995),Comedy|Crime|Thriller,Some guys get all the luck whether they like it or not. Chili Palmer happens to be in Hollywood collecting a gambling debt when he's struck by lightning (not literally). Called a natural for the movie business he's snagged up by a producer. The rest is history.
